reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f10ee8dd-476f-4865-8ce1-6aa83b277e7b,Nurul Lantika,https://play-lh.googleusercontent.com/a-/ALV-UjUU6C4xq_CSX6UhR8PVlNYSqD9xvQBDTmIg4voqHAcrBTVcBoo,jngn di download nyesel,1,0,2401101,2026-05-13 18:16:06,,,2401101
0e9008f6-872b-4c64-b3dd-d4d2ab21a7ad,Andra Winata,https://play-lh.googleusercontent.com/a-/ALV-UjUjwU1gAKe_ROpUyTu6DlX8hdE4AGJ1yo7cVJSMNulATVD3jpP8,kecewa order di Indomart skrg stok banyak kosong tapi masih bisa dipesan.. sekali y kita SDH nunggu lama tim y wa stok kosong SDH brapa X seperti ini teruss.. harus KLW stok hbis di tulis stok hbis jdi dk buat orang nunggu,1,0,2604200,2026-05-13 18:04:31,,,2604200
c139cef1-5566-4086-a072-51c2b8e3af61,Indri Aprilliani,https://play-lh.googleusercontent.com/a-/ALV-UjX63kaqaMszy6nD0gmBtikdA8EqK3rR6KaVga3U-dNzRlzZ75A,aplikasinya -100/10 beda banget sama alfagift,1,0,,2026-05-13 17:20:07,,,
938c2a68-fb03-40a8-8e79-8bf236230203,Fina Zee,https://play-lh.googleusercontent.com/a-/ALV-UjUNihucKUrzN0a9AckuiFo5gvio5Dbjnsu2eQ6z0Y7H7oeU5v4E,makan tuh sendiri.promo.gula.minyak.beras.majo seorg gak jelas.sllu gak ada.klu gak mau jual jgn pajang iklan,1,0,2604200,2026-05-13 16:52:53,,,2604200
aae08446-1e26-4bbb-8f7e-2cc4a0b453d9,ismi rizqi kamila,https://play-lh.googleusercontent.com/a-/ALV-UjX-xm01ihl9APX9JhMjD4bU8UNh0BNm4RyZfmNMgKPggscRWMw,"tolong di respon dengan baik terkait proses pengiriman yg lama, komplain yang tidak di respon. kalau sampai pesanan saya tidak di proses dengan selesai saya haramkan uang saya yang mengendap di indomaret. semakin tidak berkah klik indomaret",1,0,2604200,2026-05-13 16:19:21,,,2604200
d3087484-d2c9-49c3-8c4a-19dde619bd85,Siti Muthohiroh,https://play-lh.googleusercontent.com/a-/ALV-UjWoeGlgSqhO4LGHZ8senz5UbLc3z6EQgGSJP_m6Al-oCIsVwSvmow,"pesan beras dr tgl 12 sekitar jam 14 sampe sekarang blm diantar , bikin infil aja padahal sudh bayar",1,0,2604200,2026-05-13 15:59:46,,,2604200
a2c9ef5b-538c-49af-9537-8cf6bf18744b,Dian Oskawati,https://play-lh.googleusercontent.com/a-/ALV-UjUcdYY6rRuIX6C2UowciYkYdUtADUlAArlC2OkGM4_9HkVGhhOg,"tiap bulan minta update,kalau gak update gakbisa dibuka, kalau barang kosong ya buat kosong, apa yg diupdate aplikasinya itu² aja gakda perubahan",1,1,2604100,2026-05-13 15:41:45,,,2604100
863773db-83ad-4209-8672-236e18615b75,Bambank Yulystiawan,https://play-lh.googleusercontent.com/a-/ALV-UjVs3YWIETY1RkWGyDAVZ8R5cN2z45VW8cIxcBpe3nzFtAJMMFs,lelet,1,0,2604200,2026-05-13 15:04:23,,,2604200
ca6464a4-d754-4134-97a3-3557da0cf857,Nur Faisah,https://play-lh.googleusercontent.com/a/ACg8ocJ-taa_PWW88frfrqgnEqgEgxO0X6wAj3YginFSRJDos0GjJQ=mo,"untuk klik Indomaret di bagian Pangkep setiap pesan barang pasti tidak di antar"" malah sampai seminggu lebih Baru ada Wanya mana udah byr duluan Al hasil ambil sendiri padahal pilih 1jam sampi😫",1,0,2602200,2026-05-13 13:56:03,,,2602200
fceb9f1e-c5f1-49ea-996f-4510a83e47d5,Nafisahana Pranuhulia M,https://play-lh.googleusercontent.com/a-/ALV-UjXEILDKOu_Rytb0rNHp490iDgw7KqsU3cQthZvPt2nPloqL7gbO,buruk sekali tidak ada respon apapun,1,0,2604200,2026-05-13 13:19:21,,,2604200
f494d525-8f8a-4fa9-9992-01e73ac9f36a,Debby Chodati,https://play-lh.googleusercontent.com/a/ACg8ocIPbBLlPSR1tE1rlrEaPzFfK2H7Bqanm4tGaItFr4_f5BzKtUE=mo,"lambat bangetttttt, orang orang udh pengiriman pake motor.. Indomaret masih jalan kaki... lelet kaya siput.. GK suka! bayar ongkir! sejam sampai gundul mu! kalo GK bisa buka jasa pengiriman GAK USAH BUKA kocak!! sebel ahhh",1,0,2604200,2026-05-13 12:41:59,,,2604200
