review_id,user_name,review_date,rating,sentiment,text,clean_text,thumbs_up_count,review_created_version,app_version,developer_reply,developer_reply_date,source_app,source_package,source_url,sumber_data
c139cef1-5566-4086-a072-51c2b8e3af61,Indri Aprilliani,2026-05-13 17:20:07,1,netral,aplikasinya -100/10 beda banget sama alfagift,aplikasinya beda banget sama alfagift,0,,,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
938c2a68-fb03-40a8-8e79-8bf236230203,Fina Zee,2026-05-13 16:52:53,1,negatif,makan tuh sendiri.promo.gula.minyak.beras.majo seorg gak jelas.sllu gak ada.klu gak mau jual jgn pajang iklan,makan tuh sendiripromogulaminyakberasmajo seorg tidak jelassllu tidak adaklu tidak mau jual jgn pajang iklan,0,2604200,2604200,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
aae08446-1e26-4bbb-8f7e-2cc4a0b453d9,ismi rizqi kamila,2026-05-13 16:19:21,1,negatif,"tolong di respon dengan baik terkait proses pengiriman yg lama, komplain yang tidak di respon. kalau sampai pesanan saya tidak di proses dengan selesai saya haramkan uang saya yang mengendap di indomaret. semakin tidak berkah klik indomaret",tolong di respon dengan baik terkait proses pengiriman yg lama komplain yang tidak di respon kalau sampai pesanan saya tidak di proses dengan selesai saya haramkan uang saya yang mengendap di indomaret semakin tidak berkah klik indomaret,0,2604200,2604200,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
d3087484-d2c9-49c3-8c4a-19dde619bd85,Siti Muthohiroh,2026-05-13 15:59:46,1,netral,"pesan beras dr tgl 12 sekitar jam 14 sampe sekarang blm diantar , bikin infil aja padahal sudh bayar",pesan beras dr tgl sekitar jam sampe sekarang blm diantar bikin infil aja padahal sudh bayar,0,2604200,2604200,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
a2c9ef5b-538c-49af-9537-8cf6bf18744b,Dian Oskawati,2026-05-13 15:41:45,1,negatif,"tiap bulan minta update,kalau gak update gakbisa dibuka, kalau barang kosong ya buat kosong, apa yg diupdate aplikasinya itu² aja gakda perubahan",tiap bulan minta updatekalau tidak update gakbisa dibuka kalau barang kosong ya buat kosong apa yg diupdate aplikasinya itu aja gakda perubahan,1,2604100,2604100,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
863773db-83ad-4209-8672-236e18615b75,Bambank Yulystiawan,2026-05-13 15:04:23,1,netral,lelet,lelet,0,2604200,2604200,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
ca6464a4-d754-4134-97a3-3557da0cf857,Nur Faisah,2026-05-13 13:56:03,1,negatif,"untuk klik Indomaret di bagian Pangkep setiap pesan barang pasti tidak di antar"" malah sampai seminggu lebih Baru ada Wanya mana udah byr duluan Al hasil ambil sendiri padahal pilih 1jam sampi😫",untuk klik indomaret di bagian pangkep setiap pesan barang pasti tidak di antar malah sampai seminggu lebih baru ada wanya mana udah byr duluan al hasil ambil sendiri padahal pilih jam sampi,0,2602200,2602200,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
fceb9f1e-c5f1-49ea-996f-4510a83e47d5,Nafisahana Pranuhulia M,2026-05-13 13:19:21,1,negatif,buruk sekali tidak ada respon apapun,buruk sekali tidak ada respon apapun,0,2604200,2604200,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
f494d525-8f8a-4fa9-9992-01e73ac9f36a,Debby Chodati,2026-05-13 12:41:59,1,negatif,"lambat bangetttttt, orang orang udh pengiriman pake motor.. Indomaret masih jalan kaki... lelet kaya siput.. GK suka! bayar ongkir! sejam sampai gundul mu! kalo GK bisa buka jasa pengiriman GAK USAH BUKA kocak!! sebel ahhh",lambat bangetttttt orang orang udh pengiriman pake motor indomaret masih jalan kaki lelet kaya siput tidak suka bayar ongkir sejam sampai gundul mu kalo tidak bisa buka jasa pengiriman tidak usah buka kocak sebel ahhh,0,2604200,2604200,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
986540ae-b124-48a0-90c8-4d189a44ce1c,Alif Rahman,2026-05-13 12:31:03,1,negatif,"PELAYANAN JELEK BGT, UDAH PESAN DAN BAYAR MASIH GA DI ANTAR JUGA. UDAH COMPLAIN HAMPIR MAU 24 JAM TAPI MASIH BELUM DITANGANI, NO RECOMEND HATI HATI GUYS",pelayanan jelek banget udah pesan dan bayar masih tidak di antar juga udah complain hampir mau jam tapi masih belum ditangani no recomend hati hati guys,0,,,,,Klik Indomaret,com.indomaret.klikindomaret,https://play.google.com/store/apps/details?id=com.indomaret.klikindomaret,Google Play Store scraping menggunakan google-play-scraper
